Actual,Predicted,Count,Average_Confidence,Median_Confidence,Minimum_Confidence,Maximum_Confidence,Average_Actual_Probability,Borderline_Count,Borderline_Percentage,Moderate_Count,Moderate_Percentage,High_Count,High_Percentage
Emergency,Moderate,1249,0.6133011361810805,0.621720169634282,0.4760020152903399,0.7497874689047602,0.285141506527285,515,41.23298638911129,734,58.76701361088871,0,0.0
Emergency,Critical,1249,0.6969970809735557,0.6767562568848555,0.4886845922381392,0.9896680568857132,0.2948745734714146,385,30.824659727782226,538,43.074459567654124,326,26.10088070456365
Critical,Emergency,703,0.6155836725856867,0.6209838088487729,0.481370811428011,0.7451123442835446,0.29202887957187074,294,41.82076813655761,409,58.179231863442396,0,0.0
Moderate,Emergency,988,0.612934648061355,0.621599319899016,0.47483339136318686,0.7431140935984385,0.2807609227505772,413,41.801619433198375,575,58.198380566801625,0,0.0
Moderate,Low,1024,0.6040285086862135,0.6060200761980198,0.47296440752999946,0.7512180128651625,0.28982051580049895,483,47.16796875,541,52.83203125,0,0.0
Low,Non-Urgent,576,0.693156847006784,0.6764401092128542,0.4709546077436531,0.9891352309610933,0.2968595130963377,191,33.15972222222222,230,39.93055555555556,155,26.90972222222222
